N;CODIGO UNIFICADO;REGION;NOMBRE DEL PROYECTO;UNIDAD EJECUTORA;COSTO DEL PROYECTO;BENEFICIARIOS;NÚMERO DE PUESTOS DE TRABAJO GENERADOS;;;
140;2256647;CAJAMARCA;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO EN EL CENTRO POBLADO CHONTAS , DISTRITO DE SOCOTA - CUTERVO - CAJAMARCA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;4,486,839.94;227;64;;;
141;2235709;CAJAMARCA;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SANEAMIENTO EN LA LOCALIDAD DE CHURUCANCHA EL MOLINO , DISTRITO DE LAJAS - CHOTA - CAJAMARCA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;5,267,516.93;503;85;;;
142;2266591;CAJAMARCA;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SANEAMIENTO EN LA LOCALIDAD DE CHUNIGA , DISTRITO DE LA LIBERTAD DE PALLAN - CELENDIN - CAJAMARCA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;5,539,295.87;459;90;;;
143;2278891;CAJAMARCA;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SANEAMIENTO BASICO EN LA LOCALIDAD DE NUEVO HORIZONTE , DISTRITO DE CHADIN - CHOTA - CAJAMARCA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,050,463.08;208;39;;;
144;2289973;CAJAMARCA;AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SANEAMIENTO BASICO DE LA LOCALIDAD DE BELLAVISTA DE CAJEN , DISTRITO DE SUCRE - CELENDIN - CAJAMARCA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,064,776.93;299;39;;;
145;2271304;CAJAMARCA;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SANEAMIENTO EN LA LOCALIDAD DE NUEVA ALIANZA, DISTRITO DE LA LIBERTAD DE PALLAN - CELENDIN - CAJAMARCA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;1,822,925.08;218;35;;;
146;2202936;CAJAMARCA;AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SANEAMIENTO EN LA LOCALIDAD DE EL CORO , DISTRITO DE QUEROCOTILLO - CUTERVO - CAJAMARCA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,578,008.25;450;49;;;
147;2251178;CAJAMARCA;AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SANEAMIENTO EN LA LOCALIDAD DE CHAUPE , DISTRITO DE QUEROCOTILLO - CUTERVO - CAJAMARCA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,103,515.15;218;40;;;
148;2235538;CAJAMARCA;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO EN LA LOCALIDAD DE LA CONGA , DISTRITO DE CALLAYUC - CUTERVO - CAJAMARCA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,474,307.49;364;41;;;
149;2251325;CAJAMARCA;AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SANEAMIENTO BASICO DE LA LOCALIDAD DE EL QUENGO , DISTRITO DE SAN SILVESTRE DE COCHAN - SAN MIGUEL - CAJAMARCA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,156,458.62;286;42;;;
150;2257566;CAJAMARCA;AMPLIACIÓN Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE E INSTALACIÓN DEL SANEAMIENTO BÁSICO EN LA LOCALIDAD DE NUEVO SANTA ROSA, DISTRITO DE HUARANGO, PROVINCIA DE SAN IGNACIO, DEPARTAMENTO DE CAJAMARCA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,526,219.81;362;49;;;
151;2235334;CAJAMARCA;AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SISTEMA DE SANEAMIENTO BASICO DE LA LOCALIDAD DE URUMBA ALTO , DISTRITO DE TABACONAS - SAN IGNACIO - CAJAMARCA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,096,207.82;313;41;;;
152;2172785;CAJAMARCA;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO BASICO DE LA LOCALIDAD LA FLORIDA, DISTRITO JOSE SABOGAL, PROVINCIA DE SAN MARCOS, DEPARTAMENTO DE CAJAMARCA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,318,943.63;347;57;;;
153;2207756;CAJAMARCA;INSTALACION DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE LINDEROS, DEL DISTRITO DE JAEN, PROVINCIA DE JAEN - CAJAMARCA;MUNICIPALIDAD PROVINCIAL DE JAEN;4,945,463.68;700;172;;;
154;2235470;CAJAMARCA;MEJORAMIENTO Y AMPLIACIÓN DEL SISTEMA DE ABASTECIMIENTO DE AGUA POTABLE E INFRAESTRUCTURA SANITARIA DE LA LOCALIDAD DE CULDEN, EL LLOQUE, LA CENTRAL Y LA CHAPA, DISTRITO DE CATACHE - SANTA CRUZ - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE CATACHE;5,554,658.29;2,682;109;;;
155;2344296;CAJAMARCA;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE CORTEGANA, DISTRITO DE CORTEGANA - CELENDIN - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE CORTEGANA;4,900,677.67;1,020;68;;;
156;2277606;CAJAMARCA;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO RURAL DE LOS CASERIOS DE AGUA BLANCA Y MUYOC, DISTRITO DE SOROCHUCO, PROVINCIA DE CELENDIN - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE SOROCHUCO;5,775,796.17;1,630;114;;;
157;2303349;CAJAMARCA;MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DE LA LOCALIDAD DE LA CASCARILLA, DISTRITO CUTERVO, PROVINCIA DE CUTERVO - CAJAMARCA;MUNICIPALIDAD PROVINCIAL DE CUTERVO;5,696,167.82;479;76;;;
158;2339911;CAJAMARCA;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y CREACION DEL SERVICIO DE SANEAMIENTO EN LOCALIDADES DE PALMAPAMPA Y MANCHARA, DISTRITO DE TABACONAS - SAN IGNACIO - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE TABACONAS;3,836,360.75;780;95;;;
159;2313685;CAJAMARCA;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO BASICO EN EL CASERIO CAMPANA DISTRITO DE CAJABAMBA, PROVINCIA DE CAJABAMBA - CAJAMARCA;MUNICIPALIDAD PROVINCIAL DE CAJABAMBA;2,954,407.81;596;86;;;
160;2310434;CAJAMARCA;MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DEL CENTRO POBLADO LA UNION, DISTRITO DE SALLIQUE - JAEN - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE SALLIQUE;2,671,386.66;385;49;;;
161;2329134;CAJAMARCA;MEJORAMIENTO, AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SERVICIO DE SANEAMIENTO BASICO EN LAS LOCALIDADES DE MONTE OSCURO, RAYOS DEL SOL Y NUEVO PARAISO, DISTRITO DE CHIRINOS - SAN IGNACIO - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE CHIRINOS;2,514,559.00;390;53;;;
162;2340670;CAJAMARCA;MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SISTEMA DE SANEAMIENTO BASICO EN EL C.P PALCO LA CAPILLA, DISTRITO DE CHOROPAMPA - CHOTA - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE CHOROPAMPA;1,556,795.57;475;29;;;
163;2204974;CAJAMARCA;MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y ALCANTARILLADO EN EL CENTRO POBLADO ZAPOTAL, DISTRITO DE  SAN BERNARDINO, PROVINCIA DE SAN PABLO - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE SAN BERNARDINO;7,085,758.12;1,024;116;;;
164;2292756;CAJAMARCA;MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO DEL CENTRO POBLADO CHABARBAMBA, DISTRITO DE HUAMBOS - CHOTA - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE HUAMBOS;3,580,224.10;760;69;;;
165;2318145;CAJAMARCA;MEJORAMIENTO DEL SERVICIO DE SANEAMIENTO DE LA PARTE ALTA Y BAJA DEL CENTRO POBLADO SINCHIMACHE Y EL CASERIO EL CHIRIMOYO, DISTRITO CUTERVO, PROVINCIA DE CUTERVO - CAJAMARCA;MUNICIPALIDAD PROVINCIAL DE CUTERVO;1,562,843.79;545;56;;;
166;2214170;CAJAMARCA;MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO EN EL CASERIO EL TAMBO, DISTRITO DE LLACANORA - CAJAMARCA - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE LLACANORA;3,538,151.51;682;79;;;
167;2306733;CAJAMARCA;MEJORAMIENTO, AMPLIACION DEL SERVICIO DE AGUA POTABLE Y TRATAMIENTO DE AGUAS RESIDUALES DEL CPM QUINDEN BAJO, DISTRITO DE EL PRADO - SAN MIGUEL - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE EL PRADO;3,523,452.38;878;70;;;
168;2306963;CAJAMARCA;AMPLIACION, MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE, ALCANTARILLADO Y UNIDADES BASICAS DE SANEAMIENTO DE LA LOCALIDAD DE SAUCEPAMPA -DISTRITO DE SAUCEPAMPA, PROVINCIA DE SANTA CRUZ - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE SAUCEPAMPA;4,278,752.02;633;62;;;
169;2300317;CAJAMARCA;MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DEL SISTEMA DE AGUA POTABLE E INSTALACIÓN DE LAS UNIDADES BÁSICAS DE SANEAMIENTO EN EL CASERÍO MOLLEPAMBA, SECTORES TUCURRÍ, MACHUCARA Y MOLLEPAMBA, DISTRITO DE CAJABAMBA, PROVINCIA DE CAJABAMBA - CAJAMARCA;MUNICIPALIDAD PROVINCIAL DE CAJABAMBA;4,027,981.08;587;95;;;
170;2293858;CAJAMARCA;MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BÁSICO RURAL EN LAS COMUNIDADES NUEVO ORIENTE Y SAN JUAN DEL SURO, C.P. CUYUMALCA, DISTRITO DE CHOTA, PROVINCIA DE CHOTA - CAJAMARCA;MUNICIPALIDAD PROVINCIAL DE CHOTA;7,963,553.64;1,552;136;;;
171;2327876;CAJAMARCA;MEJORAMIENTO Y AMPLIACION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO BÁSICO DEL CASERÍO LA COLPA, DISTRITO DE JESUS - CAJAMARCA - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE JESUS;1,665,795.00;244;48;;;
172;2316540;CAJAMARCA;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO RURAL EN LAS COMUNIDADES DE SAN ANTONIO DE LA IRACA, SACA SACAS, CORRALILLO Y SITACUCHO, DISTRITO DE CHOTA, PROVINCIA DE CHOTA - CAJAMARCA;MUNICIPALIDAD PROVINCIAL DE CHOTA;10,384,978.86;1,352;138;;;
173;2342046;CAJAMARCA;AMPLIACION Y MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO DEL SECTOR SAN PEDRO, DISTRITO DE SAN ANDRES DE CUTERVO - CUTERVO - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE SAN ANDRES DE CUTERVO;5,643,515.71;955;112;;;
174;2268696;CAJAMARCA;CREACION DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO BÁSICO DE LA LOCALIDAD DE PICHUGÁN, DISTRITO DE CHIGUIRIP - CHOTA - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE CHIGUIRIP;3,889,869.18;650;58;;;
175;2144115;CAJAMARCA;AMPLIACION , MEJORAMIENTO DEL SISTEMA DE AGUA POTABLE Y CONSTRUCCION DEL SISTEMA DE ALCANTARILLADO - CASERIO PANGOYA, DISTRITO DE HUARANGO - SAN IGNACIO - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE HUARANGO;3,353,384.15;286;64;;;
176;2439879;CAJAMARCA;CREACION DEL SANEAMIENTO BÁSICO EN LAS LOCALIDADES DE RODEOPAMPA, LA SUCCHA, PAMPAGRANDE, COLCABAMBA Y SECTOR CERCADO DE ANGUÍA - 5 LOCALIDADES DEL DISTRITO DE ANGUIA - PROVINCIA DE CHOTA - DEPARTAMENTO DE CAJAMARCA;MUNICIPALIDAD DISTRITAL DE ANGUIA;6,200,590.42;1,033;148;;;
177;2283864;CAJAMARCA;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SANEAMIENTO BASICO EN LA LOCALIDAD DE SAN MARTIN , DISTRITO DE LA LIBERTAD DE PALLAN - CELENDIN - CAJAMARCA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;4,091,492.42;314;68;;;
178;2260362;CAJAMARCA;AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SANEAMIENTO BASICO DE LA LOCALIDAD DE EL CONVENTO, DISTRITO DE LLAPA - SAN MIGUEL - CAJAMARCA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,573,289.51;208;50;;;
179;2262313;CAJAMARCA;AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SANEAMIENTO BASICO DE LA LOCALIDAD DE SURO ANTIVO, DISTRITO DE TUMBADEN - SAN PABLO - CAJAMARCA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,425,458.73;178;47;;;
180;2266328;CAJAMARCA;AMPLIACION Y MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SISTEMA DE SANEAMIENTO BASICO DE LA LOCALIDAD DE SHUMAYA , DISTRITO DE HUARANGO - SAN IGNACIO - CAJAMARCA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,493,001.15;275;49;;;
181;2195747;CAJAMARCA;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO BASICO EN EL CENTRO POBLADO RINCONADA , DISTRITO DE SANTO TOMAS - CUTERVO - CAJAMARCA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;4,341,055;406;71;;;
182;2262794;CAJAMARCA;MEJORAMIENTO Y AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SANEAMIENTO EN LA LOCALIDAD DE NEGROPAMPA BAJO, DISTRITO DE CHOTA , PROVINCIA DE CHOTA - CAJAMARCA;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;5,686,426;658;97;;;
183;2340258;CAJAMARCA;MEJORAMIENTO, AMPLIACION DEL SERVICIO DE AGUA POTABLE E INSTALACION DEL SERVICIO DE SANEAMIENTO BASICO EN LA LOCALIDAD DE CEREZAL Y SECTORES EL MOLINO Y LA CATAHUA, DISTRITO DE CHIRINOS - SAN IGNACIO - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE CHIRINOS;2,517,850;535;62;;;
184;2325495;CAJAMARCA;MEJORAMIENTO Y AMPLIACIÓN DEL SERVICIO DE AGUA POTABLE E INSTALACIÓN DEL SANEAMIENTO BÁSICO RURAL EN EL CASERÍO SHAULLO GRANDE, DISTRITO DE LLACANORA - CAJAMARCA - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE LLACANORA;3,005,219;840;72;;;
185;2330754;CAJAMARCA;MEJORAMIENTO Y AMPLIACION DEL SERVICIO AGUA POTABLE, INSTALACION DEL SERVICIO DE ELIMINACION DE EXCRETAS EN LAS LOCALIDADES DE COLBOT, FILA DEL CHOLOQUE, TUCAT-EL ESPINO, LA CUCHILLA Y SICHOPE, DISTRITO DE SAN BENITO - CONTUMAZA - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE SAN BENITO;3,416,007;599;81;;;
186;2246183;CAJAMARCA;MEJORAMIENTO DEL SERVICIO DE SANEAMIENTO RURAL CON BIODIGESTORES EN RUMIPAMPA ALTA CENTRO POBLADO DE OTUZCO, DISTRITO DE LOS BANOS DEL INCA - CAJAMARCA - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE LOS BAÑOS DEL INCA;2,693,389;980;74;;;
187;2267684;CAJAMARCA;MEJORAMIENTO DEL SERVICIO DE AGUA POTABLE Y SANEAMIENTO  EN EL CASERIO AHIJADERO PARTE BAJA, CENTRO POBLADO LLAUCÁN, DISTRITO DE BAMBAMARCA, PROVINCIA DE HUALGAYOC - CAJAMARCA;MUNICIPALIDAD PROVINCIAL DE HUALGAYOC - BAMBAMARCA;3,591,161;625;75;;;
188;2286819;CAJAMARCA;MEJORAMIENTO, AMPLIACION DEL SERVICIO DE AGUA POTABLE Y DEL SERVICIO DE SANEAMIENTO BASICO DE LA LOCALIDAD DE TAMBOA Y ANEXOS, DISTRITO DE LA COIPA - SAN IGNACIO - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE LA COIPA;2,827,717;822;42;;;
189;2241796;CAJAMARCA;MEJORAMIENTO E INSTALACION DEL SERVICIO DE AGUA POTABLE Y CONEXION SANITARIA INTRA DOMICILIARIA EN LA LOCALIDAD DE CHILCA, MONTOYA Y COLPA, DISTRITO DE ICHOCAN - SAN MARCOS - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE ICHOCAN;3,393,229;670;100;;;
190;2292430;CAJAMARCA;MEJORAMIENTO DE PISTAS Y VEREDAS DE LA LOCALIDAD DE TOCMOCHE, DISTRITO DE TOCMOCHE - CHOTA - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE TOCMOCHE;6,083,888;1,264;177;;;
191;2276250;CAJAMARCA;CREACION DEL SERVICIO DE TRANSITABILIDAD VEHICULAR Y PEATONAL EN EL CENTRO POBLADO TABACAL, LOS PINOS, DISTRITO DE CONTUMAZA, PROVINCIA DE CONTUMAZA - CAJAMARCA;MUNICIPALIDAD PROVINCIAL DE CONTUMAZA;3,157,699;645;92;;;
192;2480056;CAJAMARCA;CREACION DEL SERVICIO RECREACIONAL EN EL SECTOR SANTA ROSA  DISTRITO DE SAN IGNACIO - PROVINCIA DE SAN IGNACIO - DEPARTAMENTO DE CAJAMARCA;MUNICIPALIDAD PROVINCIAL DE SAN IGNACIO;407,539;800;13;;;
193;2406855;CAJAMARCA;CREACION Y CONSTRUCCIÓN DE LA PLAZA EN  C.P. PARIAMARCA - DISTRITO DE QUEROCOTO - PROVINCIA DE CHOTA - DEPARTAMENTO DE CAJAMARCA;MUNICIPALIDAD DISTRITAL DE QUEROCOTO;414,543;748;13;;;
194;2406888;CAJAMARCA;CREACION Y CONSTRUCCIÓN DEL PARQUE EN C.P. PACOPAMPA - DISTRITO DE QUEROCOTO - PROVINCIA DE CHOTA - DEPARTAMENTO DE CAJAMARCA;MUNICIPALIDAD DISTRITAL DE QUEROCOTO;402,644;966;13;;;
195;2404148;CAJAMARCA;CREACION Y MEJORAMIENTO DE PISTAS Y VEREDAS EN CENTRO POBLADO DE PARIAMARCA - DISTRITO DE QUEROCOTO - PROVINCIA DE CHOTA - REGIÓN CAJAMARCA;MUNICIPALIDAD DISTRITAL DE QUEROCOTO;2,334,822;993;69;;;
196;2438774;CAJAMARCA;CREACION DE PISTAS Y VEREDAS EN LA LOCALIDAD DE RIO SECO DEL DISTRITO DE GREGORIO PITA - PROVINCIA DE SAN MARCOS - DEPARTAMENTO DE CAJAMARCA;MUNICIPALIDAD DISTRITAL DE GREGORIO PITA;6,450,185;158;188;;;
197;2468975;CAJAMARCA;CREACION DEL PARQUE PAKAMUROS EN LA HABILITACIÓN URBANA PAKAMUROS DE LA CIUDAD DE JAÉN  DISTRITO DE JAEN - PROVINCIA DE JAEN - DEPARTAMENTO DE CAJAMARCA;MUNICIPALIDAD PROVINCIAL DE JAEN;573,452;836;17;;;
198;2492232;CAJAMARCA;"CONSTRUCCION DE PISTA, VEREDA, CUNETA Y SARDINEL; ADEMÁS DE OTROS ACTIVOS EN EL(LA) LOCALIDAD DE NINABAMBA DISTRITO DE NINABAMBA, PROVINCIA SANTA CRUZ, DEPARTAMENTO CAJAMARCA";MUNICIPALIDAD DISTRITAL DE NINABAMBA;700,870;193;22;;;
199;2492197;CAJAMARCA;"CONSTRUCCION DE CALZADA, CUNETA, SARDINEL Y VEREDA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) SECTOR LAS GARDENIAS EN LA LOCALIDAD LA GRAMA, DISTRITO DE EDUARDO VILLANUEVA, PROVINCIA SAN MARCOS, DEPARTAMENTO CAJAMARCA";MUNICIPALIDAD DISTRITAL EDUARDO VILLANUEVA;1,012,871;182;31;;;
200;2492070;CAJAMARCA;"CONSTRUCCION DE CALZADA, VEREDA, CUNETA Y SARDINEL; ADEMÁS DE OTROS ACTIVOS EN EL(LA) SECTOR II EN LA LOCALIDAD HUAMBOS, DISTRITO DE HUAMBOS, PROVINCIA CHOTA, DEPARTAMENTO CAJAMARCA";MUNICIPALIDAD DISTRITAL DE HUAMBOS;1,400,205;173;42;;;
201;2492063;CAJAMARCA;"CONSTRUCCION DE CALZADA, CUNETA, SARDINEL Y VEREDA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) SECTOR II EN LA LOCALIDAD PAUCAMARCA, DISTRITO DE GREGORIO PITA, PROVINCIA SAN MARCOS, DEPARTAMENTO CAJAMARCA";MUNICIPALIDAD DISTRITAL DE GREGORIO PITA;952,336;162;29;;;
202;2491396;CAJAMARCA;" ""REPARACIÓN DE CALZADA, BADÉN , GIBA Y VEREDAS; ADEMÁS DE OTROS ACTIVOS EN EL (LA) JR. PROGRESO, SECTOR 1 SAN SEBASTIAN Y 9 PUEBLO LIBRE, DISTRITO DE CAJAMARCA, PROVINCIA DE CAJAMARCA, DEPARTAMENTO DE CAJAMARCA""";MUNICIPALIDAD PROVINCIAL DE CAJAMARCA-CAJAMARCA;884,980;45,755;26;;;
203;2492221;CAJAMARCA;"CONSTRUCCION DE CALZADA Y VEREDA; RENOVACION DE CALZADA Y VEREDA; EN EL(LA) DEL CASCO URBANO EN LA LOCALIDAD YAUYUCAN EN LA LOCALIDAD YAUYUCAN, DISTRITO DE YAUYUCAN,PROVINCIA SANTA CRUZ, DEPARTAMENTO CAJAMARCA";MUNICIPALIDAD DISTRITAL DE YAUYUCAN;1,434,150;230;43;;;
204;2492019;CAJAMARCA;" CONSTRUCCION DE VEREDA, RAMPA, SARDINEL Y CALZADA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) BARRIO SAN PEDRO EN LA LOCALIDAD SAN MIGUEL DE PALLAQUES, DISTRITO DE SAN MIGUEL, PROVINCIA SAN MIGUEL, DEPARTAMENTO CAJAMARCA";MUNICIPALIDAD PROVINCIAL DE SAN MIGUEL;759,344;399;23;;;
205;2492760;CAJAMARCA;"RENOVACION DE PISTA Y VEREDA; CONSTRUCCION DE PISTA Y VEREDA; EN EL(LA) CALLES PRINCIPALES EN LA LOCALIDAD COLASAY, DISTRITO DE COLASAY, PROVINCIA JAEN, DEPARTAMENTO CAJAMARCA";MUNICIPALIDAD DISTRITAL DE COLASAY;1,140,671;126;34;;;
206;2492750;CAJAMARCA;"CONSTRUCCION DE CALZADA Y VEREDA; EN EL(LA) JR. WASHINTON (ENTRE JR. ARENALES - JR. UNION) Y EL JR. CRUZ DE CHALPON (ENTRE JR. 8 DE OCTUBRE - JR. WASHINTON) DEL SECTOR CRUZ DE CHALPON, DISTRITO DE TACABAMBA, PROVINCIA CHOTA, DEPARTAMENTO CAJAMARCA";MUNICIPALIDAD DISTRITAL DE TACABAMBA;876,315;382;26;;;
207;2492170;CAJAMARCA;"CONSTRUCCION DE PISTA, VEREDA, CUNETA Y MURO DE CONTENCION; EN EL (LA) JIRON CRISTO POBRE, TUYURCO, LOS JAZMINES Y PALAO DEL CENTRO POBLADO ARAQUEDA; DISTRITO DECACHACHI, PROVINCIA CAJABAMBA, DEPARTAMENTO CAJAMARCA";MUNICIPALIDAD DISTRITAL DE CACHACHI;753,998;190;23;;;
208;2492020;CAJAMARCA;"CONSTRUCCION DE VEREDA, RAMPA, SARDINEL Y CALZADA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) BARRIO EL CERCADO EN LA LOCALIDAD SAN MIGUEL DE PALLAQUES, DISTRITO DE SAN MIGUEL, PROVINCIA SAN MIGUEL, DEPARTAMENTO CAJAMARCA";UEI DE LA MUNICIPALIDAD PROVINCIAL DE SAN MIGUEL;1,133,007;736;34;;;
209;2269081;CAJAMARCA;MEJORAMIENTO DE PISTAS Y VEREDAS DE LAS CALLES DEL CENTRO POBLADO SAN ANTONIO, DISTRITO DE SOCOTA - CUTERVO - CAJAMARCA;MUNICIPALIDAD DISTRITAL DE SOCOTA;4,160,309;400;122;;;
210;2474875;CALLAO;"RENOVACION DE VIAS DE ACCESO; EN EL(LA) CALLES 6,6A,6B,6C,6D Y 6E DE LA URB. CIUDAD DEL PESCADOR, DEL  DISTRITO DE BELLAVISTA, PROVINCIA PROVINCIA CONSTITUCIONAL DEL CALLAO, DEPARTAMENTO CALLAO";MUNICIPALIDAD DISTRITAL DE BELLAVISTA;1,624,280;860;48;;;
211;2474874;CALLAO;"RENOVACION DE VEREDA; EN EL(LA) AV. JUAN PABLO II ENTRE LA AV. GUARDIA CHALACA Y LA AV. OSCAR R. BENAVIDES,  DISTRITO DE BELLAVISTA, PROVINCIA PROVINCIA CONSTITUCIONAL DEL CALLAO, DEPARTAMENTO CALLAO";MUNICIPALIDAD DISTRITAL DE BELLAVISTA;1,036,847;860;31;;;
212;2461567;CALLAO;"RENOVACION DE PISTAS; EN EL(LA) MUNICIPALIDAD PROVINCIAL DEL CALLAO JR. COLON ( ENTRE AV MARCO POLO Y JR PAZ SOLDAN) DISTRITO DE CALLAO, PROVINCIA CALLAO, DEPARTAMENTO CALLAO";MUNICIPALIDAD PROVINCIAL DEL CALLAO;574,061;5,191;17;;;
213;2340591;CUSCO;MEJORAMIENTO, AMPLIACION SERVICIO DE AGUA POTABLE, ALCANTARILLADO Y TRATAMIENTO DE AGUAS RESIDUALES EN LA LOCALIDAD DE VILLA VIRGEN, DISTRITO DE VILLA VIRGEN - LA CONVENCION - CUSCO;MUNICIPALIDAD DISTRITAL DE VILLA VIRGEN;11,562,178;2,361;57;;;
214;2326664;CUSCO;CREACION DEL SISTEMA DE AGUA POTABLE Y ALCANTARILLADO EN LA APV MAYUPAMPA, CC PAMPA PHALLA DEL DISTRITO DE SICUANI, PROVINCIA DE CANCHIS - CUSCO;EPS EMPSSAPAL S.A.;1,478,696.00;1,056;21;;;
