N;CODIGO UNIFICADO;REGION;NOMBRE DEL PROYECTO;UNIDAD EJECUTORA;COSTO DEL PROYECTO;BENEFICIARIOS;NÚMERO DE PUESTOS DE TRABAJO GENERADOS;;;
46;2492311;ANCASH;"CONSTRUCCION DE CALZADA, VEREDA Y SARDINEL; REPARACION DE CALZADA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) CENTRO POBLADO MACATE EN LA LOCALIDAD MACATE, DISTRITO DE MACATE, PROVINCIA SANTA, DEPARTAMENTO ANCASH";MUNICIPALIDAD DISTRITAL DE MACATE;650,854;313;20;;;
47;2492435;ANCASH;"CONSTRUCCION DE CALZADA, VEREDA, CUNETA Y RAMPA; ADEMÁS DE OTROS ACTIVOS EN EL(LA) ÁMBITO URBANO DE LA LOCALIDAD DE MASIN  DISTRITO DE MASIN, PROVINCIA HUARI, DEPARTAMENTO ANCASH";MUNICIPALIDAD DISTRITAL DE MASIN;555,135;83;17;;;
48;2492331;ANCASH;"REPARACION DE CALZADA Y VEREDA; CONSTRUCCION DE CALZADA; EN EL(LA) CENTRO POBLADO DE QUINUABAMBA, DISTRITO DE QUINUABAMBA, PROVINCIA POMABAMBA, DEPARTAMENTO ANCASH";MUNICIPALIDAD DISTRITAL DE QUINUABAMBA;516,447;352;16;;;
49;2490296;ANCASH;"CONSTRUCCION DE VEREDA; REMODELACION DE AREA VERDE Y PISTA; EN EL(LA) CALLE 1, CALLE 2, AV. A, CALLE 3, CALLE 4, CALLE 5 Y AV. PANAMERICANA EN LA LOCALIDAD SAN PEDRO, DISTRITO DE SAMANCO, PROVINCIA SANTA, DEPARTAMENTO ANCASH";MUNICIPALIDAD DISTRITAL DE SAMANCO;574,578;50;17;;;
50;2262620;APURÍMAC;MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS DE LA LOCALIDAD DE KULLCO , DISTRITO DE HUAYLLATI - GRAU - APURIMAC;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;1,997,459.16;241;39;;;
51;2263285;APURÍMAC;MEJORAMIENTO Y AMPLIACION DE LOS SERVICIOS DE AGUA POTABLE Y DISPOSICION SANITARIA DE EXCRETAS DE LA LOCALIDAD DE CURCA , DISTRITO DE MARA - COTABAMBAS - APURIMAC;PROGRAMA NACIONAL DE SANEAMIENTO RURAL;2,213,159.02;242;44;;;
52;2289653;APURÍMAC;INSTALACION  DEL SISTEMA DE AGUA POTABLE Y SANEAMIENTO BASICO EN LA COMUNIDAD CAMPESINA UPINA, PROVINCIA DE COTABAMBAS - APURIMAC;MUNICIPALIDAD PROVINCIAL DE COTABAMBAS - TAMBOBAMBA;1,797,813.12;135;41;;;
53;2300630;APURÍMAC;MEJORAMIENTO DEL SISTEMA DE  AGUA POTABLE E INSTALACION DE UNIDADES BASICAS DE SANEAMIENTO EN LAS LOCALIDADES DE HABASPATA, HUAYÑURA, NUEVA ESPERANZA Y RATCAY DEL DISTRITO DE CURPAHUASI, PROVINCIA DE GRAU - APURIMAC;MUNICIPALIDAD DISTRITAL DE CURPAHUASI;4,042,057.34;913;70;;;
54;2308900;APURÍMAC;MEJORAMIENTO Y AMPLIACION INTEGRAL DE LOS SERVICIOS DE AGUA POTABLE Y ALCANTARILLADO DE LA LOCALIDAD DE TURPAY, DISTRITO DE TURPAY - GRAU - APURIMAC;MUNICIPALIDAD DISTRITAL DE TURPAY;4,810,750.00;959;72;;;
55;2239651;APURÍMAC;MEJORAMIENTO DEL SERVICIO DE SANEAMIENTO BASICO INTEGRAL EN LOS ANEXOS DE HUAYO GRANDE Y HUAYO CHICO, PUCURHUAY, IÑIRQUIPATA, HUASCARO PATIS Y TAMBORACCAY DEL DISTRITO DE CURPAHUASI, PROVINCIA DE GRAU - APURIMAC;MUNICIPALIDAD DISTRITAL DE CURPAHUASI;5,134,747.47;2,090;87;;;
